Year (year),Season (season),Scheme name (scheme),State (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Percentage of the number of farmers (farmer_count),Number of applications by lonees (loanee),Number of applications by non-lonees (non_loanee),Area covered by them (area_insured),Sum insured by them (sum_insured),Number of shares hold by farmer (farmer_share),Number of goi shares (goi_share),Number of state shares (state_share),Percentage of males (male),Percentage of females (female),Percentage of transgender (transgender),Percentage of SC farmers (sc),Percentage of ST farmers (st),Percentage of OBC farmers (obc),Percentage of farmers that belong to general caste (gen),Percentage of marginal farmers (marginal),Percentage of small farmers (small),Percentage of farmers that are neither small nor marginal (other),Number of Insurance Units (iu_count),Gross Premium (gross_premium)
"2022","Rabi","PMFBY","Assam","18","Bongaigaon","281.0","13169.0","97.0","17250.0","11.64","16258.87","17.7","46.07","734.47","73.76","26.21","0.03","5.75","2.43","8.25","83.57","21.2","78.26","0.54","62.0","798.24"
"2018","Kharif","PMFBY","Chhattisgarh","22","Surguja","389.0","25942.0","20243.0","7850.0","31.36","8576.48","171.53","90.97","90.97","90.15","9.65","0.2","2.71","67.86","22.97","6.46","15.2","55.84","28.96","403.0","353.47"
"2021","Kharif","WBCIS","Uttar Pradesh","9","Unnao","186.0","5.0","0.0","5.0","0.0","0.04","0.0","0.0","0.0","80.0","20.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","1.0","0.01"
"2021","Rabi","PMFBY","Odisha","21","Rayagada","370.0","2.0","0.0","2.0","0.0","0.22","0.0","0.0","0.0","50.0","50.0","0.0","50.0","0.0","50.0","0.0","0.0","100.0","0.0","2.0","0.0"
"2018","Rabi","WBCIS","Madhya Pradesh","23","Damoh","400.0","8.0","8.0","0.0","0.01","4.65","0.23","0.34","0.34","100.0","0.0","0.0","0.0","0.0","75.0","25.0","0.0","25.0","75.0","5.0","0.91"
"2021","Rabi","WBCIS","Uttar Pradesh","9","Ambedkar Nagar","121.0","48.0","0.0","48.0","0.0","2.16","0.11","0.03","0.03","87.5","12.5","0.0","8.33","0.0","66.67","25.0","4.17","93.75","2.08","8.0","0.17"
"2022","Rabi","PMFBY","Maharashtra","27","Buldhana","472.0","8520.0","4693.0","10157.0","12.53","5136.24","80.46","88.18","88.18","85.7","14.28","0.02","3.92","0.57","64.99","30.52","7.4","64.45","28.15","99.0","256.82"
"2022","Rabi","PMFBY","Kerala","32","Palakkad","563.0","44.0","25.0","46.0","0.02","38.81","1.2","0.01","0.01","88.73","11.27","0.0","9.86","0.0","81.69","8.45","26.76","56.34","16.9","17.0","1.21"
"2021","Kharif","WBCIS","Maharashtra","27","Ahmadnagar","nan","15412.0","9349.0","10972.0","12.98","15054.59","752.73","818.92","850.03","83.75","16.22","0.03","0.79","0.23","12.61","86.37","9.06","75.11","15.83","95.0","2421.68"
"2020","Kharif","PMFBY","Haryana","6","Fatehabad","61.0","48795.0","57819.0","13257.0","86.28","71186.73","2512.47","2318.83","2318.83","90.37","9.59","0.04","0.81","0.03","11.5","87.66","14.52","62.45","23.03","248.0","7150.13"
"2021","Rabi","WBCIS","Chhattisgarh","22","Mahasamund","385.0","69.0","80.0","72.0","0.05","43.91","2.2","1.23","1.23","92.11","7.89","0.0","3.95","20.39","62.5","13.16","15.79","63.82","20.39","16.0","4.66"
"2022","Kharif","PMFBY","Uttar Pradesh","9","Kanpur Dehat","156.0","37657.0","38369.0","338.0","26.92","18944.75","378.89","444.04","444.04","93.79","6.13","0.08","3.56","0.53","26.58","69.33","28.36","68.21","3.43","610.0","1266.97"
"2020","Kharif","WBCIS","Maharashtra","27","Osmanabad","488.0","755.0","49.0","809.0","0.47","441.41","22.07","37.78","74.58","86.13","13.87","0.0","2.33","0.12","15.73","81.82","10.37","82.17","7.46","30.0","134.43"
"2019","Rabi","PMFBY","Haryana","6","Karnal","67.0","31489.0","37237.0","38.0","56.72","35711.44","535.67","367.84","367.84","91.2","8.77","0.03","0.67","0.07","9.42","89.84","21.92","55.59","22.49","434.0","1271.35"
"2022","Rabi","PMFBY","Rajasthan","8","Jalore","104.0","99005.0","507216.0","14466.0","192.09","127465.07","4900.87","5510.14","5510.14","91.16","8.61","0.23","10.84","3.27","54.97","30.92","12.3","43.0","44.7","289.0","15921.15"
"2020","Rabi","WBCIS","Uttar Pradesh","9","Baghpat","124.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","100.0","0.0","1.0","0.0"
"2021","Kharif","PMFBY","Chhattisgarh","22","Bilaspur","375.0","45013.0","184403.0","8212.0","67.98","30030.5","600.61","2204.03","2204.03","90.42","9.52","0.06","20.01","17.76","53.41","8.82","22.46","50.06","27.48","678.0","5008.67"
