Year (year),Season (season),Scheme name (scheme),State (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Percentage of the number of farmers (farmer_count),Number of applications by lonees (loanee),Number of applications by non-lonees (non_loanee),Area covered by them (area_insured),Sum insured by them (sum_insured),Number of shares hold by farmer (farmer_share),Number of goi shares (goi_share),Number of state shares (state_share),Percentage of males (male),Percentage of females (female),Percentage of transgender (transgender),Percentage of SC farmers (sc),Percentage of ST farmers (st),Percentage of OBC farmers (obc),Percentage of farmers that belong to general caste (gen),Percentage of marginal farmers (marginal),Percentage of small farmers (small),Percentage of farmers that are neither small nor marginal (other),Number of Insurance Units (iu_count),Gross Premium (gross_premium)
"2020","Kharif","PMFBY","Karnataka","29","Belagavi","527.0","30179.0","2394.0","27785.0","0.02","0.1","0.0","0.01","0.01","90.91","9.09","0.0","1.01","1.01","35.35","62.63","8.08","57.58","34.34","1000.0","0.02"
"2022","Kharif","PMFBY","Uttar Pradesh","9","Kasganj","633.0","4255.0","6132.0","370.0","2.9","1728.1","34.56","58.89","58.89","90.59","9.41","0.0","4.01","0.48","53.35","42.16","38.5","49.17","12.33","359.0","152.34"
"2020","Rabi","PMFBY","Tamil Nadu","33","Thanjavur","586.0","120041.0","56221.0","366305.0","136.93","110011.93","1652.39","12515.57","12527.78","70.04","29.92","0.04","5.84","0.06","57.21","36.89","7.74","89.72","2.54","907.0","26695.74"
"2020","Rabi","PMFBY","Uttar Pradesh","9","Gorakhpur","148.0","40224.0","43761.0","624.0","25.63","17889.96","268.35","847.09","847.09","92.11","7.88","0.01","0.83","0.13","14.51","84.53","12.92","81.85","5.23","1220.0","1962.53"
"2020","Kharif","PMFBY","Chhattisgarh","22","Bemetara","650.0","94111.0","408594.0","15098.0","155.46","62429.57","1248.59","4183.78","4183.78","91.11","8.81","0.08","11.16","3.5","76.6","8.74","19.43","52.8","27.77","707.0","9616.15"
"2022","Kharif","PMFBY","Maharashtra","27","Akola","467.0","151351.0","69645.0","253645.0","251.63","113320.88","2445.52","5467.57","5467.57","80.67","19.29","0.04","21.31","1.51","50.34","26.84","10.73","82.07","7.2","52.0","13380.66"
"2018","Rabi","PMFBY","Odisha","21","Jajapur","356.0","269.0","303.0","55.0","0.3","131.68","1.96","0.33","0.33","95.53","4.47","0.0","7.26","0.0","28.49","64.25","29.05","65.92","5.03","14.0","2.62"
"2018","Kharif","PMFBY","Uttarakhand","5","Hardwar","nan","15000.0","15051.0","759.0","3.57","3063.57","61.27","34.77","34.77","93.26","6.66","0.08","2.9","4.86","22.98","69.26","3.6","95.24","1.16","49.0","130.81"
"2021","Kharif","PMFBY","Manipur","14","Churachandpur","254.0","5.0","0.0","9.0","0.01","6.12","0.12","0.33","0.04","66.67","33.33","0.0","0.0","100.0","0.0","0.0","55.56","44.44","0.0","1.0","0.49"
"2020","Rabi","PMFBY","Karnataka","29","Kodagu","541.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","0.0","0.0"
"2022","Kharif","PMFBY","Tripura","16","Dhalai","269.0","19800.0","778.0","30168.0","5.26","3628.67","3.54","32.66","72.66","80.44","19.51","0.05","23.96","42.96","15.76","17.32","4.35","72.62","23.03","141.0","108.86"
"2020","Kharif","PMFBY","Uttarakhand","5","Dehradun","49.0","1643.0","853.0","1001.0","0.57","403.09","8.06","9.05","9.05","91.64","8.36","0.0","4.31","37.43","8.85","49.41","25.84","72.11","2.05","28.0","26.16"
"2020","Rabi","WBCIS","Rajasthan","8","Rajsamand","112.0","19.0","19.0","0.0","0.0","0.65","0.03","0.07","0.07","94.74","5.26","0.0","5.26","0.0","15.79","78.95","42.11","57.89","0.0","1.0","0.16"
"2019","Kharif","WBCIS","Madhya Pradesh","23","Dewas","402.0","49.0","94.0","0.0","0.08","39.5","1.98","2.61","2.61","85.11","14.89","0.0","1.06","0.0","40.43","58.51","0.0","19.15","80.85","11.0","7.2"
"2018","Rabi","PMFBY","West Bengal","19","Maldah","316.0","107292.0","20603.0","110751.0","59.29","40798.72","44.29","766.05","1361.21","78.89","21.09","0.02","11.33","3.4","3.42","81.85","17.95","77.87","4.18","159.0","2171.55"
"2018","Kharif","PMFBY","West Bengal","19","Dakshin Dinajpur","nan","34229.0","32829.0","12092.0","35.18","19346.84","0.0","0.0","384.69","89.31","10.67","0.02","20.21","6.22","5.78","67.79","10.24","86.51","3.25","72.0","384.69"
"2019","Rabi","WBCIS","Rajasthan","8","Jalor","nan","5.0","3.0","3.0","0.01","6.87","0.34","0.34","0.34","66.67","33.33","0.0","0.0","0.0","33.33","66.67","16.67","33.33","50.0","3.0","1.03"
"2020","Kharif","PMFBY","Uttar Pradesh","9","Ghazipur","146.0","28332.0","32457.0","128.0","20.07","12723.42","254.47","153.24","153.24","90.63","9.29","0.08","8.34","0.68","50.21","40.77","63.58","32.85","3.57","1135.0","560.95"
"2021","Kharif","PMFBY","Himachal Pradesh","2","Sirmaur","24.0","901.0","1044.0","1.0","0.47","139.53","2.79","2.39","2.39","95.31","4.69","0.0","5.36","0.38","13.88","80.38","36.36","62.11","1.53","10.0","7.57"
"2021","Kharif","PMFBY","Assam","18","Dhubri","285.0","12060.0","869.0","11818.0","6.01","3572.37","0.39","102.88","82.48","77.43","22.53","0.04","0.86","0.66","5.05","93.43","8.83","90.64","0.53","9.0","185.75"
"2019","Rabi","WBCIS","Madhya Pradesh","23","Harda","408.0","5.0","8.0","0.0","0.01","5.21","0.26","0.14","0.14","100.0","0.0","0.0","0.0","0.0","87.5","12.5","0.0","37.5","62.5","5.0","0.54"
"2018","Rabi","PMFBY","Rajasthan","8","Bharatpur","91.0","43040.0","87322.0","2.0","68.44","43871.47","658.07","549.6","549.6","92.61","7.32","0.07","6.12","3.24","51.23","39.41","26.34","52.83","20.83","508.0","1757.27"
"2021","Rabi","PMFBY","Uttar Pradesh","9","Ghaziabad","145.0","2639.0","2702.0","16.0","1.41","1133.94","17.01","8.5","8.5","92.68","7.32","0.0","0.29","0.0","12.62","87.09","76.2","22.22","1.58","136.0","34.01"
"2018","Kharif","WBCIS","Kerala","32","Idukki","556.0","1475.0","1554.0","2.0","1.15","522.94","21.78","3.13","3.13","83.03","16.97","0.0","2.12","0.19","27.76","69.93","15.42","51.93","32.65","43.0","28.04"
"2018","Kharif","PMFBY","Telangana","36","Rajanna","nan","9850.0","10460.0","40.0","9.47","8047.4","160.95","100.78","100.78","70.41","29.56","0.03","11.59","5.89","44.7","37.82","12.47","79.64","7.89","170.0","362.51"
"2018","Kharif","WBCIS","Madhya Pradesh","23","Panna","420.0","7.0","0.0","9.0","0.0","0.52","0.03","0.03","0.03","100.0","0.0","0.0","0.0","0.0","11.11","88.89","0.0","88.89","11.11","3.0","0.08"
"2018","Kharif","PMFBY","Haryana","6","Karnal","67.0","35230.0","37082.0","110.0","58.91","43288.88","865.78","324.77","325.9","91.95","7.99","0.06","1.23","0.12","21.72","76.93","17.05","62.12","20.83","431.0","1516.45"
"2020","Kharif","PMFBY","Odisha","21","Nuapada","368.0","24148.0","58993.0","50776.0","23.11","14170.91","283.06","1255.98","1255.98","89.7","10.27","0.03","9.87","26.68","58.13","5.32","16.02","74.12","9.86","139.0","2795.02"
"2018","Kharif","PMFBY","Maharashtra","27","Dhule","474.0","25004.0","28118.0","2604.0","35.81","12246.75","579.87","274.12","274.12","82.26","17.68","0.06","0.86","3.31","39.84","55.99","11.39","78.16","10.45","43.0","1128.11"
"2020","Rabi","WBCIS","Uttar Pradesh","9","Amroha","154.0","18.0","57.0","1.0","0.04","28.49","1.42","2.85","7.12","100.0","0.0","0.0","0.0","0.0","18.97","81.03","17.24","50.0","32.76","4.0","11.39"
"2020","Rabi","PMFBY","Tamil Nadu","33","Erode","573.0","993.0","75.0","1936.0","0.94","907.07","21.87","102.45","193.16","86.08","13.92","0.0","0.55","0.05","30.78","68.62","6.27","86.57","7.16","30.0","317.48"
"2018","Rabi","PMFBY","Uttar Pradesh","9","Siddharthnagar","182.0","44704.0","44588.0","4304.0","39.49","20110.22","301.65","807.42","807.42","92.04","7.95","0.01","3.15","0.95","22.98","72.92","17.45","77.25","5.3","1184.0","1916.49"
"2020","Rabi","PMFBY","Rajasthan","8","Pali","111.0","29312.0","51214.0","451.0","62.45","34447.28","730.83","2044.79","2044.79","88.44","11.41","0.15","8.91","2.85","58.11","30.13","12.01","41.28","46.71","387.0","4820.41"
"2020","Kharif","PMFBY","Uttarakhand","5","Tehri Garhwal","55.0","2250.0","910.0","1608.0","0.32","165.4","3.31","3.07","3.07","86.42","13.58","0.0","4.57","1.03","15.37","79.03","21.76","77.96","0.28","14.0","9.45"
"2018","Kharif","PMFBY","Assam","18","Bongaigaon","281.0","541.0","543.0","0.0","0.38","225.93","4.52","8.83","8.83","94.66","5.34","0.0","2.39","8.66","10.5","78.45","54.7","13.08","32.22","2.0","22.18"
"2019","Rabi","PMFBY","Jharkhand","20","Saraikela-Kharsawan","nan","481.0","329.0","159.0","0.18","91.61","2.25","2.95","2.95","86.27","13.73","0.0","6.97","33.4","48.36","11.27","9.22","90.16","0.62","19.0","8.15"
"2021","Rabi","WBCIS","Chhattisgarh","22","Durg","378.0","514.0","1385.0","92.0","0.73","706.55","35.33","69.73","69.73","90.18","9.82","0.0","2.84","5.42","59.65","32.09","21.53","42.86","35.61","21.0","174.79"
"2021","Kharif","PMFBY","Assam","18","Golaghat","288.0","17389.0","580.0","17460.0","8.35","4960.5","0.29","44.64","103.88","81.61","18.26","0.13","4.73","10.68","20.12","64.47","16.29","83.15","0.56","6.0","148.81"
"2019","Kharif","PMFBY","Chhattisgarh","22","Korba","383.0","27188.0","18192.0","17879.0","43.11","14616.35","292.33","416.39","416.39","88.53","11.37","0.1","7.82","57.83","29.23","5.12","22.58","57.5","19.92","705.0","1125.11"
"2021","Rabi","PMFBY","Assam","18","Bongaigaon","281.0","22606.0","117.0","22579.0","14.18","9854.07","0.59","266.06","176.78","63.45","36.53","0.02","2.71","0.95","3.97","92.37","93.9","5.78","0.32","51.0","443.43"
"2020","Rabi","PMFBY","Madhya Pradesh","23","Mandsaur","416.0","63435.0","99353.0","2970.0","133.06","71160.61","1067.41","4815.77","4815.77","88.5","11.41","0.09","5.18","1.3","68.35","25.17","9.08","48.64","42.28","467.0","10698.95"
"2018","Rabi","PMFBY","Jammu And Kashmir","1","Doda","4.0","2783.0","2796.0","0.0","2.32","1859.17","27.89","33.19","33.19","95.46","4.4","0.14","0.04","0.36","21.57","78.03","5.83","90.16","4.01","15.0","94.27"
"2020","Kharif","PMFBY","Uttar Pradesh","9","Chitrakoot","136.0","13188.0","17077.0","856.0","16.0","6483.59","129.67","584.49","584.49","91.37","8.59","0.04","8.07","0.36","43.32","48.25","30.07","56.93","13.0","328.0","1298.65"
"2018","Kharif","PMFBY","Odisha","21","Nabarangapur","nan","27591.0","20695.0","10362.0","27.51","12955.91","259.12","201.72","201.72","85.91","14.05","0.04","11.84","54.55","24.15","9.46","10.6","85.76","3.64","201.0","662.56"
"2018","Rabi","PMFBY","Goa","30","South Goa","552.0","1.0","1.0","0.0","0.0","0.33","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","100.0","100.0","0.0","0.0","1.0","0.01"
"2021","Rabi","PMFBY","Rajasthan","8","Barmer","90.0","60247.0","160910.0","897.0","76.62","38584.93","1734.29","1974.09","1974.09","89.41","10.12","0.47","8.74","2.18","70.82","18.26","13.8","35.46","50.74","305.0","5682.47"
"2021","Rabi","WBCIS","Maharashtra","27","Ahmadnagar","nan","966.0","1273.0","641.0","1.0","1326.76","79.82","131.58","154.95","90.13","9.87","0.0","0.63","0.05","18.6","80.72","20.95","49.74","29.31","89.0","366.35"
"2019","Rabi","PMFBY","Jharkhand","20","Bokaro","322.0","1592.0","1080.0","555.0","0.59","399.21","8.32","4.14","4.14","86.61","13.33","0.06","24.83","5.63","52.35","17.19","17.37","82.14","0.49","77.0","16.6"
"2018","Rabi","PMFBY","Karnataka","29","Davangere","535.0","772.0","648.0","124.0","0.0","0.01","0.0","0.0","0.0","82.32","17.68","0.0","1.53","3.06","8.16","87.25","17.86","29.08","53.06","157.0","0.0"
"2021","Rabi","PMFBY","Uttar Pradesh","9","Rampur","176.0","4182.0","5362.0","106.0","3.96","2912.84","43.69","98.36","98.36","90.75","9.24","0.01","2.93","0.16","52.38","44.53","27.38","47.15","25.47","573.0","240.41"
"2020","Kharif","PMFBY","Maharashtra","27","Bhandara","471.0","84344.0","156610.0","29132.0","85.28","32392.05","647.84","1296.57","1296.57","85.88","14.08","0.04","8.56","3.0","83.52","4.92","7.48","89.16","3.36","40.0","3240.98"
"2020","Kharif","PMFBY","Uttar Pradesh","9","Ambedkar Nagar","121.0","22559.0","23815.0","231.0","14.6","11341.97","226.84","214.93","214.93","93.01","6.98","0.01","7.56","0.16","52.67","39.61","62.82","33.59","3.59","904.0","656.7"
"2022","Kharif","PMFBY","Assam","18","Chirang","612.0","1765.0","59.0","2015.0","1.21","794.29","1.79","7.49","14.93","73.96","26.04","0.0","5.88","47.25","12.92","33.95","30.33","68.61","1.06","12.0","24.21"
"2019","Kharif","PMFBY","Assam","18","Karimganj","293.0","10897.0","362.0","10716.0","5.75","3412.67","1.29","8.53","75.5","80.27","19.7","0.03","1.11","0.13","1.17","97.59","1.48","98.27","0.25","5.0","85.32"
"2018","Kharif","PMFBY","Rajasthan","8","Jaipur","102.0","149621.0","284929.0","72.0","199.17","67276.78","1345.54","2614.53","2614.53","88.99","10.92","0.09","5.11","9.56","65.22","20.11","32.26","45.9","21.84","617.0","6574.6"
"2021","Rabi","PMFBY","Chhattisgarh","22","Koriya","nan","594.0","920.0","18.0","0.79","203.45","3.05","8.67","8.67","93.28","6.61","0.11","13.33","35.29","40.62","10.76","17.38","56.61","26.01","104.0","20.39"
"2019","Rabi","WBCIS","Maharashtra","27","Amravati","468.0","10800.0","5878.0","6602.0","14.11","11090.77","554.54","3264.06","3264.06","83.83","16.12","0.05","2.81","0.71","81.38","15.1","16.04","71.23","12.73","63.0","7082.66"
"2019","Kharif","PMFBY","Assam","18","Morigaon","nan","17489.0","536.0","18813.0","12.38","7348.38","0.41","79.15","225.73","77.16","22.82","0.02","0.68","1.73","2.11","95.48","30.12","69.54","0.34","5.0","305.29"
"2022","Kharif","PMFBY","Odisha","21","Jagatsinghapur","355.0","18126.0","67629.0","3434.0","8.11","5836.81","116.73","175.1","175.1","88.44","11.54","0.02","7.28","0.45","49.51","42.76","24.51","74.9","0.59","192.0","466.93"
"2021","Kharif","PMFBY","Tripura","16","Khowai","652.0","18468.0","1389.0","30440.0","3.82","2639.13","2.72","23.75","52.7","82.58","17.41","0.01","11.34","31.55","10.89","46.22","9.92","88.48","1.6","116.0","79.17"
"2019","Kharif","PMFBY","Uttarakhand","5","Dehradun","49.0","1765.0","1099.0","1103.0","0.53","348.96","6.98","2.09","2.09","92.1","7.86","0.04","6.54","42.78","8.4","42.28","24.66","73.93","1.41","27.0","11.16"
"2019","Rabi","PMFBY","Madhya Pradesh","23","Vidisha","437.0","97502.0","263894.0","3406.0","390.44","101650.09","1524.74","2279.03","2279.03","89.97","9.79","0.24","4.65","1.4","53.52","40.43","13.49","34.81","51.7","582.0","6082.8"
"2019","Rabi","WBCIS","Rajasthan","8","Alwar","87.0","22.0","22.0","0.0","0.01","7.14","0.36","0.69","0.69","95.45","4.55","0.0","0.0","0.0","100.0","0.0","9.09","86.36","4.55","8.0","1.73"
"2022","Kharif","PMFBY","Maharashtra","27","Sangli","493.0","13874.0","6357.0","18809.0","14.1","4229.18","84.66","273.43","273.43","84.95","15.0","0.05","15.6","0.17","19.69","64.54","5.48","86.46","8.06","73.0","631.52"
"2021","Kharif","PMFBY","Chhattisgarh","22","Baloda Bazar","644.0","98324.0","587656.0","6561.0","127.2","56557.46","1131.15","4092.74","4092.74","91.22","8.69","0.09","18.91","11.84","66.21","3.04","17.38","65.04","17.58","941.0","9316.63"
"2020","Kharif","PMFBY","Odisha","21","Subarnapur","nan","26268.0","172817.0","79326.0","30.0","21004.06","420.46","1364.42","1364.42","89.4","10.55","0.05","9.94","5.73","64.4","19.93","16.14","76.13","7.73","114.0","3149.3"
"2018","Rabi","PMFBY","Tamil Nadu","33","Viluppuram","nan","85974.0","32264.0","167668.0","85.74","55656.7","1163.5","944.24","944.24","83.41","16.56","0.03","7.86","0.12","55.69","36.33","3.58","92.82","3.6","1432.0","3051.98"
"2018","Rabi","PMFBY","Gujarat","24","Mahesana","451.0","3.0","0.0","3.0","0.0","0.06","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","2.0","0.0"
"2022","Rabi","PMFBY","Assam","18","Marigaon","296.0","7533.0","277.0","9125.0","6.57","6907.1","15.23","81.09","184.16","74.66","25.26","0.08","5.09","3.74","11.92","79.25","53.3","46.59","0.11","80.0","280.48"
"2018","Kharif","PMFBY","Madhya Pradesh","23","Mandsaur","416.0","117521.0","130950.0","1233.0","221.82","119542.48","2390.85","6202.69","6202.69","81.9","18.02","0.08","10.73","2.34","59.26","27.67","8.73","65.1","26.17","449.0","14796.23"
"2020","Kharif","PMFBY","Uttar Pradesh","9","Kanpur Dehat","156.0","40822.0","41847.0","50.0","31.27","22079.69","441.59","528.22","528.22","93.66","6.28","0.06","4.38","0.72","29.83","65.07","31.48","64.7","3.82","618.0","1498.03"
"2018","Kharif","WBCIS","Kerala","32","Malappuram","562.0","29.0","43.0","0.0","0.03","25.7","1.29","0.87","0.87","95.35","4.65","0.0","0.0","0.0","25.58","74.42","20.93","32.56","46.51","16.0","3.02"
"2019","Kharif","PMFBY","Uttar Pradesh","9","Mau","168.0","9118.0","10123.0","17.0","6.69","2758.84","55.18","41.38","41.38","92.37","7.58","0.05","7.23","0.41","51.96","40.4","53.7","42.36","3.94","576.0","137.94"
"2021","Rabi","PMFBY","Uttar Pradesh","9","Kannauj","155.0","19692.0","22902.0","4.0","9.02","8282.51","220.76","309.26","309.26","92.59","7.36","0.05","3.19","0.94","51.13","44.74","62.19","35.65","2.16","486.0","839.28"
"2022","Kharif","PMFBY","Puducherry","34","Pondicherry","600.0","2363.0","27.0","5696.0","2.42","1631.57","0.02","34.92","67.52","72.13","27.85","0.02","4.61","0.28","59.32","35.79","3.34","94.57","2.09","59.0","102.46"
"2018","Kharif","PMFBY","Maharashtra","27","Buldana","nan","146313.0","78817.0","217940.0","220.78","87066.6","2280.35","7254.88","7254.88","81.8","18.14","0.06","4.8","0.89","60.0","34.31","10.44","79.19","10.37","102.0","16790.11"
"2021","Rabi","WBCIS","Uttar Pradesh","9","Amroha","154.0","13.0","40.0","0.0","0.03","20.61","1.03","2.06","5.15","100.0","0.0","0.0","17.5","0.0","0.0","82.5","25.0","37.5","37.5","3.0","8.24"
"2022","Rabi","WBCIS","Chhattisgarh","22","Mahasamund","385.0","65.0","108.0","79.0","0.07","76.71","3.84","2.2","2.2","94.12","5.88","0.0","3.74","14.44","54.55","27.27","19.25","40.11","40.64","20.0","8.24"
"2018","Kharif","WBCIS","Maharashtra","27","Jalna","479.0","13769.0","2351.0","13071.0","13.19","12404.75","620.24","1966.14","1966.14","81.18","18.78","0.04","1.02","0.24","13.87","84.87","7.5","85.59","6.91","44.0","4552.52"
"2022","Rabi","PMFBY","Odisha","21","Bhadrak","348.0","25.0","133.0","6.0","0.04","27.95","0.42","0.77","0.77","100.0","0.0","0.0","0.0","3.6","3.6","92.8","5.04","12.95","82.01","16.0","1.97"
"2019","Rabi","PMFBY","Jharkhand","20","Garhwa","328.0","1001.0","1112.0","59.0","1.23","634.18","9.52","14.25","14.25","62.85","37.06","0.09","8.97","4.27","39.88","46.88","21.01","73.19","5.8","108.0","38.02"
"2021","Kharif","PMFBY","Uttar Pradesh","9","Amethi","640.0","31963.0","32594.0","405.0","19.79","13365.07","267.3","277.99","277.99","88.29","11.7","0.01","8.44","0.13","18.62","72.81","12.18","84.92","2.9","682.0","823.28"
"2021","Rabi","PMFBY","Tripura","16","Gomati","654.0","18035.0","1157.0","20861.0","3.86","2667.95","2.79","35.9","41.31","79.3","20.66","0.04","6.9","20.79","4.26","68.05","34.19","63.58","2.23","10.0","80.0"
"2022","Kharif","PMFBY","Haryana","6","Sonipat","75.0","19506.0","21697.0","1991.0","25.77","23337.29","509.18","399.11","399.11","92.16","7.84","0.0","0.16","0.0","2.06","97.78","26.58","56.88","16.54","335.0","1307.4"
"2018","Kharif","PMFBY","Assam","18","Tinsukia","302.0","3311.0","2677.0","643.0","2.17","1298.54","25.97","14.41","14.41","89.16","10.78","0.06","0.51","5.6","88.01","5.88","74.46","25.48","0.06","4.0","54.79"
"2018","Rabi","PMFBY","West Bengal","19","Nadia","320.0","78415.0","31116.0","57003.0","42.0","30404.34","15.91","339.74","791.38","87.17","12.77","0.06","7.65","0.29","5.73","86.33","37.69","48.39","13.92","210.0","1147.03"
"2019","Kharif","WBCIS","Himachal Pradesh","2","Kangra","18.0","3.0","1.0","2.0","0.0","0.65","0.03","0.03","0.03","100.0","0.0","0.0","0.0","0.0","66.67","33.33","0.0","100.0","0.0","1.0","0.09"
"2021","Kharif","PMFBY","Haryana","6","Rewari","72.0","29848.0","41557.0","10681.0","32.07","18863.14","681.18","1021.73","1021.73","92.51","7.46","0.03","0.65","0.02","60.22","39.11","28.25","62.21","9.54","409.0","2724.64"
"2018","Kharif","WBCIS","Andhra Pradesh","28","Guntur","506.0","10077.0","10171.0","821.0","8.24","11767.03","588.35","199.32","199.32","71.22","28.68","0.1","3.27","3.05","48.28","45.4","12.62","74.09","13.29","53.0","986.99"
"2021","Kharif","PMFBY","Madhya Pradesh","23","Hoshangabad","nan","61056.0","107094.0","9.0","198.15","79323.65","1586.47","4963.97","4963.97","87.52","12.33","0.15","3.57","4.11","61.34","30.98","17.26","37.91","44.83","413.0","11514.41"
"2022","Kharif","PMFBY","Uttar Pradesh","9","Sambhal","659.0","6821.0","7495.0","614.0","3.68","2396.83","47.94","25.01","25.01","89.21","10.73","0.06","5.19","0.11","57.37","37.33","39.62","53.24","7.14","471.0","97.96"
"2019","Rabi","WBCIS","Himachal Pradesh","2","Mandi","22.0","12717.0","13083.0","2.0","912.76","7346.41","367.32","693.87","693.87","93.29","6.67","0.04","13.85","0.29","2.98","82.88","31.69","63.49","4.82","229.0","1755.06"
"2020","Rabi","PMFBY","Uttar Pradesh","9","Pilibhit","173.0","7215.0","8697.0","1794.0","6.72","5289.29","79.34","85.95","85.95","92.29","7.63","0.08","2.99","1.98","42.77","52.26","26.39","48.48","25.13","698.0","251.24"
"2021","Kharif","PMFBY","Odisha","21","Baudh","nan","11600.0","48384.0","815.0","8.12","5338.31","106.76","237.55","237.55","90.44","9.54","0.02","11.78","8.59","71.81","7.82","12.09","85.55","2.36","70.0","581.86"
"2019","Rabi","PMFBY","Uttar Pradesh","9","Kanpur Dehat","156.0","41333.0","45267.0","12.0","34.93","16252.09","243.78","555.73","555.73","93.99","5.96","0.05","4.57","0.76","28.65","66.02","29.97","66.0","4.03","628.0","1355.24"
"2019","Rabi","PMFBY","Uttar Pradesh","9","Rampur","176.0","20291.0","23498.0","10.0","18.69","12337.34","186.14","123.63","123.63","89.85","10.11","0.04","3.82","0.42","45.94","49.82","42.61","45.1","12.29","681.0","433.4"
"2018","Rabi","PMFBY","Uttar Pradesh","9","Banda","128.0","38339.0","55140.0","749.0","55.38","15828.72","237.43","717.32","717.32","92.55","7.36","0.09","3.39","0.2","20.96","75.45","25.57","62.28","12.15","469.0","1672.07"
"2020","Kharif","WBCIS","Maharashtra","27","Amravati","468.0","5495.0","3587.0","3040.0","6.65","5313.92","265.7","385.69","385.9","84.29","15.68","0.03","2.07","0.6","81.23","16.1","15.54","67.15","17.31","66.0","1037.29"
"2022","Kharif","PMFBY","Assam","18","Karimganj","293.0","2431.0","51.0","2440.0","1.51","1025.85","2.44","9.6","19.14","87.92","12.04","0.04","21.56","0.72","11.16","66.56","4.09","95.58","0.33","84.0","31.18"
"2021","Kharif","PMFBY","Manipur","14","Imphal East","255.0","175.0","161.0","32.0","0.09","63.83","1.28","2.3","0.26","63.21","36.79","0.0","0.0","0.52","24.35","75.13","88.6","11.4","0.0","8.0","3.84"
"2018","Rabi","WBCIS","Chhattisgarh","22","Dakshin Bastar Dantewada","nan","145.0","0.0","199.0","0.01","5.41","0.27","0.11","0.11","88.94","11.06","0.0","0.5","70.35","25.13","4.02","4.02","93.97","2.01","9.0","0.5"
"2021","Kharif","PMFBY","Uttar Pradesh","9","Ghazipur","146.0","19157.0","20210.0","185.0","13.49","8526.35","170.53","102.94","102.94","90.32","9.66","0.02","8.35","0.78","50.23","40.64","64.15","32.1","3.75","1125.0","376.41"
"2018","Rabi","PMFBY","Uttar Pradesh","9","Chitrakoot","136.0","11577.0","14138.0","711.0","15.02","4517.69","67.76","145.8","145.8","91.35","8.55","0.1","9.25","0.32","35.97","54.46","26.04","57.67","16.29","329.0","359.36"
"2019","Kharif","PMFBY","Andhra Pradesh","28","Guntur","506.0","54750.0","40421.0","52639.0","69.35","53191.15","0.62","509.34","1625.94","68.99","31.0","0.01","6.31","2.4","23.45","67.84","18.39","78.08","3.53","623.0","2135.9"
"2018","Kharif","WBCIS","Himachal Pradesh","2","Bilaspur","15.0","442.0","459.0","4.0","0.08","104.13","5.21","1.23","1.23","93.09","6.91","0.0","7.78","1.3","3.02","87.9","10.15","89.85","0.0","3.0","7.67"
"2020","Rabi","PMFBY","Uttar Pradesh","9","Chandauli","135.0","8368.0","9151.0","144.0","8.39","5001.32","75.02","100.03","100.03","89.03","10.87","0.1","4.82","0.48","39.85","54.85","46.47","43.7","9.83","649.0","275.08"
"2022","Rabi","PMFBY","Uttar Pradesh","9","Unnao","186.0","28390.0","29065.0","354.0","19.88","12320.77","186.01","338.07","338.07","91.89","8.07","0.04","10.34","0.89","37.86","50.91","54.54","41.8","3.66","1001.0","862.15"
"2022","Kharif","PMFBY","Chhattisgarh","22","Bastar","374.0","26743.0","88802.0","6057.0","48.16","20235.19","404.7","1311.03","1311.03","83.57","16.35","0.08","1.43","65.03","20.63","12.91","21.79","50.27","27.94","558.0","3026.76"
"2019","Kharif","PMFBY","Haryana","6","Sirsa","74.0","86022.0","99290.0","1237.0","189.34","145167.75","2903.35","6977.73","10396.91","87.78","12.18","0.04","0.92","0.1","8.09","90.89","17.18","56.39","26.43","334.0","20277.99"
"2022","Rabi","WBCIS","Rajasthan","8","Ajmer","86.0","100.0","315.0","0.0","0.05","86.43","4.32","7.11","7.11","84.76","15.24","0.0","2.54","0.63","51.75","45.08","34.29","28.57","37.14","23.0","18.54"
"2018","Rabi","PMFBY","Tamil Nadu","33","Karur","576.0","3829.0","1739.0","3776.0","3.55","2750.5","73.67","145.29","145.29","80.85","19.11","0.04","7.2","0.27","23.93","68.6","18.75","73.64","7.61","148.0","364.25"
"2021","Kharif","PMFBY","Uttar Pradesh","9","Hapur","661.0","1274.0","1379.0","181.0","0.61","482.69","9.65","5.07","5.07","89.49","10.51","0.0","2.31","0.19","41.67","55.83","41.09","53.21","5.7","194.0","19.79"
"2021","Rabi","PMFBY","Uttarakhand","5","Tehri Garhwal","55.0","2669.0","1554.0","1210.0","0.76","305.76","4.59","12.99","12.99","86.29","13.71","0.0","4.67","1.09","32.34","61.9","25.4","70.95","3.65","14.0","30.57"
"2018","Rabi","PMFBY","Assam","18","Jorhat","290.0","67.0","0.0","87.0","0.08","52.77","0.96","0.23","0.23","82.76","17.24","0.0","0.0","75.86","5.75","18.39","20.69","78.16","1.15","4.0","1.43"
